/Users/estefanos/Desktop/Research/Eenv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Epoch 1/50, Train Loss: 0.5884, Val Loss: 0.5711, Train Acc: 0.7081, Val Acc: 0.7217
Epoch 2/50, Train Loss: 0.4833, Val Loss: 0.5208, Train Acc: 0.8276, Val Acc: 0.7826
Epoch 3/50, Train Loss: 0.4463, Val Loss: 0.4393, Train Acc: 0.8655, Val Acc: 0.8696
Epoch 4/50, Train Loss: 0.4126, Val Loss: 0.4082, Train Acc: 0.8947, Val Acc: 0.9000
Epoch 5/50, Train Loss: 0.3998, Val Loss: 0.3993, Train Acc: 0.9121, Val Acc: 0.9116
Epoch 6/50, Train Loss: 0.3712, Val Loss: 0.3843, Train Acc: 0.9422, Val Acc: 0.9290
Epoch 7/50, Train Loss: 0.3633, Val Loss: 0.3796, Train Acc: 0.9484, Val Acc: 0.9304
Epoch 8/50, Train Loss: 0.3572, Val Loss: 0.3848, Train Acc: 0.9553, Val Acc: 0.9275
Epoch 9/50, Train Loss: 0.3473, Val Loss: 0.3738, Train Acc: 0.9665, Val Acc: 0.9391
Epoch 10/50, Train Loss: 0.3432, Val Loss: 0.3698, Train Acc: 0.9699, Val Acc: 0.9420
Epoch 11/50, Train Loss: 0.3427, Val Loss: 0.3950, Train Acc: 0.9708, Val Acc: 0.9188
Epoch 12/50, Train Loss: 0.3479, Val Loss: 0.3742, Train Acc: 0.9646, Val Acc: 0.9377
Epoch 13/50, Train Loss: 0.3392, Val Loss: 0.3792, Train Acc: 0.9736, Val Acc: 0.9304
Epoch 14/50, Train Loss: 0.3369, Val Loss: 0.3678, Train Acc: 0.9764, Val Acc: 0.9464
Epoch 15/50, Train Loss: 0.3337, Val Loss: 0.3698, Train Acc: 0.9795, Val Acc: 0.9435
Epoch 16/50, Train Loss: 0.3313, Val Loss: 0.3661, Train Acc: 0.9823, Val Acc: 0.9464
Epoch 17/50, Train Loss: 0.3366, Val Loss: 0.3670, Train Acc: 0.9764, Val Acc: 0.9449
Epoch 18/50, Train Loss: 0.3301, Val Loss: 0.3623, Train Acc: 0.9839, Val Acc: 0.9507
Epoch 19/50, Train Loss: 0.3377, Val Loss: 0.3866, Train Acc: 0.9752, Val Acc: 0.9217
Epoch 20/50, Train Loss: 0.3400, Val Loss: 0.3672, Train Acc: 0.9736, Val Acc: 0.9449
Epoch 21/50, Train Loss: 0.3365, Val Loss: 0.3732, Train Acc: 0.9761, Val Acc: 0.9348
Epoch 22/50, Train Loss: 0.3307, Val Loss: 0.3633, Train Acc: 0.9826, Val Acc: 0.9493
Epoch 23/50, Train Loss: 0.3284, Val Loss: 0.3616, Train Acc: 0.9848, Val Acc: 0.9507
Epoch 24/50, Train Loss: 0.3309, Val Loss: 0.3814, Train Acc: 0.9817, Val Acc: 0.9275
Epoch 25/50, Train Loss: 0.3328, Val Loss: 0.3657, Train Acc: 0.9804, Val Acc: 0.9478
